Timestamp,PM2.5,PM10,NO,NO2,NOx,NH3,SO2,CO,Ozone,Benzene,Toluene,Xylene,Temperature,Humidity,WindSpeed,WindDirection,Rainfall,TotalRainfall,SolarRadiation,BarometricPressure,Year,Month,Day,DayOfWeek,MonthName,Season,IsMonsoon,AQI_PM25,AQI_PM10,AQI,AQI_Category
2015-02-19,,,,,,,,,,,,,,,,,0.0,0.0,,,2015,2,19,Thursday,February,Winter,False,,,,Unknown
2015-02-20,,,,,,,,,,,,,,,,,0.0,0.0,,,2015,2,20,Friday,February,Winter,False,,,,Unknown
2015-02-21,,,,,,,,,,,,,,,,,0.0,0.0,,,2015,2,21,Saturday,February,Winter,False,,,,Unknown
2015-02-22,,,,,,,,,,,,,,,,,0.0,0.0,,,2015,2,22,Sunday,February,Winter,False,,,,Unknown
2015-02-23,,,,,,,,,,,,,,,,,0.0,0.0,,,2015,2,23,Monday,February,Winter,False,,,,Unknown
2015-02-24,,,,,,,,,,,,,,,,,0.0,0.0,,,2015,2,24,Tuesday,February,Winter,False,,,,Unknown
2015-02-25,,,,,,,,,,,,,,,,,0.0,0.0,,,2015,2,25,Wednesday,February,Winter,False,,,,Unknown
2015-02-26,,,,,,,,,,,,,,,,,0.0,0.0,,,2015,2,26,Thursday,February,Winter,False,,,,Unknown
2015-02-27,,,,,,,,,,,,,,,,,0.0,0.0,,,2015,2,27,Friday,February,Winter,False,,,,Unknown
2015-02-28,,,,,,,,,,,,,,,,,0.0,0.0,,,2015,2,28,Saturday,February,Winter,False,,,,Unknown
2015-03-01,,,,,,,,,,,,,,,,,0.0,0.0,,,2015,3,1,Sunday,March,Spring,False,,,,Unknown
2015-03-02,,,,,,,,,,,,,,,,,0.0,0.0,,,2015,3,2,Monday,March,Spring,False,,,,Unknown
2015-03-03,,,,,,,,,,,,,,,,,0.0,0.0,,,2015,3,3,Tuesday,March,Spring,False,,,,Unknown
2015-03-04,,,,,,,,,,,,,,,,,0.0,0.0,,,2015,3,4,Wednesday,March,Spring,False,,,,Unknown
2015-03-05,,,,,,,,,,,,,,,,,0.0,0.0,,,2015,3,5,Thursday,March,Spring,False,,,,Unknown
2015-03-06,,,,,,,,,,,,,,,,,0.0,0.0,,,2015,3,6,Friday,March,Spring,False,,,,Unknown
2015-03-07,,,,,,,,,,,,,,,,,0.0,0.0,,,2015,3,7,Saturday,March,Spring,False,,,,Unknown
2015-03-08,,,,,,,,,,,,,,,,,0.0,0.0,,,2015,3,8,Sunday,March,Spring,False,,,,Unknown
2015-03-09,,,,,,,,,,,,,,,,,0.0,0.0,,,2015,3,9,Monday,March,Spring,False,,,,Unknown
2015-03-10,,,,,,,,,,,,,,,,,0.0,0.0,,,2015,3,10,Tuesday,March,Spring,False,,,,Unknown
2015-03-11,,,,,,,,,,,,,,,,,0.0,0.0,,,2015,3,11,Wednesday,March,Spring,False,,,,Unknown
2015-03-12,,,,,,,,,,,,,,,,,0.0,0.0,,,2015,3,12,Thursday,March,Spring,False,,,,Unknown
2015-03-13,,,,,,,,,,,,,,,,,0.0,0.0,,,2015,3,13,Friday,March,Spring,False,,,,Unknown
2015-03-14,,,,,,,,,,,,,,,,,0.0,0.0,,,2015,3,14,Saturday,March,Spring,False,,,,Unknown
2015-03-15,,,,,,,,,,,,,,,,,0.0,0.0,,,2015,3,15,Sunday,March,Spring,False,,,,Unknown
2015-03-16,,,,,,,,,,,,,,,,,0.0,0.0,,,2015,3,16,Monday,March,Spring,False,,,,Unknown
2015-03-17,,,,,,,,,,,,,,,,,0.0,0.0,,,2015,3,17,Tuesday,March,Spring,False,,,,Unknown
2015-03-18,,,,,,,,,,,,,,,,,0.0,0.0,,,2015,3,18,Wednesday,March,Spring,False,,,,Unknown
2015-03-19,,,,,,,,,,,,,,,,,0.0,0.0,,,2015,3,19,Thursday,March,Spring,False,,,,Unknown
2015-03-20,,,,,,,,,,,,,,,,,0.0,0.0,,,2015,3,20,Friday,March,Spring,False,,,,Unknown
2015-03-21,,,,,,,,,,,,,,,,,0.0,0.0,,,2015,3,21,Saturday,March,Spring,False,,,,Unknown
2015-03-22,,,,,,,,,,,,,,,,,0.0,0.0,,,2015,3,22,Sunday,March,Spring,False,,,,Unknown
2015-03-23,,,,,,,,,,,,,,,,,0.0,0.0,,,2015,3,23,Monday,March,Spring,False,,,,Unknown
2015-03-24,,,,,,,,,,,,,,,,,0.0,0.0,,,2015,3,24,Tuesday,March,Spring,False,,,,Unknown
2015-03-25,,,,,,,,,,,,,,,,,0.0,0.0,,,2015,3,25,Wednesday,March,Spring,False,,,,Unknown
2015-03-26,,,,,,,,,,,,,,,,,0.0,0.0,,,2015,3,26,Thursday,March,Spring,False,,,,Unknown
2015-03-27,,,,,,,,,,,,,,,,,0.0,0.0,,,2015,3,27,Friday,March,Spring,False,,,,Unknown
2015-03-28,,,,,,,,,,,,,,,,,0.0,0.0,,,2015,3,28,Saturday,March,Spring,False,,,,Unknown
2015-03-29,,,,,,,,,,,,,,,,,0.0,0.0,,,2015,3,29,Sunday,March,Spring,False,,,,Unknown
2015-03-30,,,,,,,,,,,,,,,,,0.0,0.0,,,2015,3,30,Monday,March,Spring,False,,,,Unknown
2015-03-31,,,,,,,,,,,,,,,,,0.0,0.0,,,2015,3,31,Tuesday,March,Spring,False,,,,Unknown
2015-04-01,,,,,,,,,,,,,,,,,0.0,0.0,,,2015,4,1,Wednesday,April,Spring,False,,,,Unknown
2015-04-02,,,,,,,,,,,,,,,,,0.0,0.0,,,2015,4,2,Thursday,April,Spring,False,,,,Unknown
2015-04-03,,,,,,,,,,,,,,,,,0.0,0.0,,,2015,4,3,Friday,April,Spring,False,,,,Unknown
2015-04-04,,,,,,,,,,,,,,,,,0.0,0.0,,,2015,4,4,Saturday,April,Spring,False,,,,Unknown
2015-04-05,,,,,,,,,,,,,,,,,0.0,0.0,,,2015,4,5,Sunday,April,Spring,False,,,,Unknown
2015-04-06,,,,,,,,,,,,,,,,,0.0,0.0,,,2015,4,6,Monday,April,Spring,False,,,,Unknown
2015-04-07,,,,,,,,,,,,,,,,,0.0,0.0,,,2015,4,7,Tuesday,April,Spring,False,,,,Unknown
2015-04-08,,,,,,,,,,,,,,,,,0.0,0.0,,,2015,4,8,Wednesday,April,Spring,False,,,,Unknown
2015-04-09,,,,,,,,,,,,,,,,,0.0,0.0,,,2015,4,9,Thursday,April,Spring,False,,,,Unknown
2015-04-10,,,,,,,,,,,,,,,,,0.0,0.0,,,2015,4,10,Friday,April,Spring,False,,,,Unknown
2015-04-11,,,,,,,,,,,,,,,,,0.0,0.0,,,2015,4,11,Saturday,April,Spring,False,,,,Unknown
2015-04-12,,,,,,,,,,,,,,,,,0.0,0.0,,,2015,4,12,Sunday,April,Spring,False,,,,Unknown
2015-04-13,,,,,,,,,,,,,,,,,0.0,0.0,,,2015,4,13,Monday,April,Spring,False,,,,Unknown
2015-04-14,,,,,,,,,,,,,,,,,0.0,0.0,,,2015,4,14,Tuesday,April,Spring,False,,,,Unknown
2015-04-15,,,,,,,,,,,,,,,,,0.0,0.0,,,2015,4,15,Wednesday,April,Spring,False,,,,Unknown
2015-04-16,,,,,,,,,,,,,,,,,0.0,0.0,,,2015,4,16,Thursday,April,Spring,False,,,,Unknown
2015-04-17,,,,,,,,,,,,,,,,,0.0,0.0,,,2015,4,17,Friday,April,Spring,False,,,,Unknown
2015-04-18,,,,,,,,,,,,,,,,,0.0,0.0,,,2015,4,18,Saturday,April,Spring,False,,,,Unknown
2015-04-19,,,,,,,,,,,,,,,,,0.0,0.0,,,2015,4,19,Sunday,April,Spring,False,,,,Unknown
2015-04-20,,,,,,,,,,,,,,,,,0.0,0.0,,,2015,4,20,Monday,April,Spring,False,,,,Unknown
2015-04-21,,,,,,,,,,,,,,,,,0.0,0.0,,,2015,4,21,Tuesday,April,Spring,False,,,,Unknown
2015-04-22,,,,,,,,,,,,,,,,,0.0,0.0,,,2015,4,22,Wednesday,April,Spring,False,,,,Unknown
2015-04-23,,,,,,,,,,,,,,,,,0.0,0.0,,,2015,4,23,Thursday,April,Spring,False,,,,Unknown
2015-04-24,,,,,,,,,,,,,,,,,0.0,0.0,,,2015,4,24,Friday,April,Spring,False,,,,Unknown
2015-04-25,,,,,,,,,,,,,,,,,0.0,0.0,,,2015,4,25,Saturday,April,Spring,False,,,,Unknown
2015-04-26,,,,,,,,,,,,,,,,,0.0,0.0,,,2015,4,26,Sunday,April,Spring,False,,,,Unknown
2015-04-27,,,,,,,,,,,,,,,,,0.0,0.0,,,2015,4,27,Monday,April,Spring,False,,,,Unknown
2015-04-28,,,,,,,,,,,,,,,,,0.0,0.0,,,2015,4,28,Tuesday,April,Spring,False,,,,Unknown
2015-04-29,,,,,,,,,,,,,,,,,0.0,0.0,,,2015,4,29,Wednesday,April,Spring,False,,,,Unknown
2015-04-30,,,,,,,,,,,,,,,,,0.0,0.0,,,2015,4,30,Thursday,April,Spring,False,,,,Unknown
2015-05-01,,,,,,,,,,,,,,,,,0.0,0.0,,,2015,5,1,Friday,May,Spring,False,,,,Unknown
2015-05-02,,,,,,,,,,,,,,,,,0.0,0.0,,,2015,5,2,Saturday,May,Spring,False,,,,Unknown
2015-05-03,,,,,,,,,,,,,,,,,0.0,0.0,,,2015,5,3,Sunday,May,Spring,False,,,,Unknown
2015-05-04,,,,,,,,,,,,,,,,,0.0,0.0,,,2015,5,4,Monday,May,Spring,False,,,,Unknown
2015-05-05,,,,,,,,,,,,,,,,,0.0,0.0,,,2015,5,5,Tuesday,May,Spring,False,,,,Unknown
2015-05-06,,,,,,,,,,,,,,,,,0.0,0.0,,,2015,5,6,Wednesday,May,Spring,False,,,,Unknown
2015-05-07,,,,,,,,,,,,,,,,,0.0,0.0,,,2015,5,7,Thursday,May,Spring,False,,,,Unknown
2015-05-08,,,,,,,,,,,,,,,,,0.0,0.0,,,2015,5,8,Friday,May,Spring,False,,,,Unknown
2015-05-09,,,,,,,,,,,,,,,,,0.0,0.0,,,2015,5,9,Saturday,May,Spring,False,,,,Unknown
2015-05-10,,,,,,,,,,,,,,,,,0.0,0.0,,,2015,5,10,Sunday,May,Spring,False,,,,Unknown
2015-05-11,,,,,,,,,,,,,,,,,0.0,0.0,,,2015,5,11,Monday,May,Spring,False,,,,Unknown
2015-05-12,,,,,,,,,,,,,,,,,0.0,0.0,,,2015,5,12,Tuesday,May,Spring,False,,,,Unknown
2015-05-13,,,,,,,,,,,,,,,,,0.0,0.0,,,2015,5,13,Wednesday,May,Spring,False,,,,Unknown
2015-05-14,,,,,,,,,,,,,,,,,0.0,0.0,,,2015,5,14,Thursday,May,Spring,False,,,,Unknown
2015-05-15,,,,,,,,,,,,,,,,,0.0,0.0,,,2015,5,15,Friday,May,Spring,False,,,,Unknown
2015-05-16,,,,,,,,,,,,,,,,,0.0,0.0,,,2015,5,16,Saturday,May,Spring,False,,,,Unknown
2015-05-17,,,,,,,,,,,,,,,,,0.0,0.0,,,2015,5,17,Sunday,May,Spring,False,,,,Unknown
2015-05-18,,,,,,,,,,,,,,,,,0.0,0.0,,,2015,5,18,Monday,May,Spring,False,,,,Unknown
2015-05-19,,,,,,,,,,,,,,,,,0.0,0.0,,,2015,5,19,Tuesday,May,Spring,False,,,,Unknown
2015-05-20,,,,,,,,,,,,,,,,,0.0,0.0,,,2015,5,20,Wednesday,May,Spring,False,,,,Unknown
2015-05-21,,,,,,,,,,,,,,,,,0.0,0.0,,,2015,5,21,Thursday,May,Spring,False,,,,Unknown
2015-05-22,,,,,,,,,,,,,,,,,0.0,0.0,,,2015,5,22,Friday,May,Spring,False,,,,Unknown
2015-05-23,,,,,,,,,,,,,,,,,0.0,0.0,,,2015,5,23,Saturday,May,Spring,False,,,,Unknown
2015-05-24,,,,,,,,,,,,,,,,,0.0,0.0,,,2015,5,24,Sunday,May,Spring,False,,,,Unknown
2015-05-25,,,,,,,,,,,,,,,,,0.0,0.0,,,2015,5,25,Monday,May,Spring,False,,,,Unknown
2015-05-26,,,,,,,,,,,,,,,,,0.0,0.0,,,2015,5,26,Tuesday,May,Spring,False,,,,Unknown
2015-05-27,,,,,,,,,,,,,,,,,0.0,0.0,,,2015,5,27,Wednesday,May,Spring,False,,,,Unknown
2015-05-28,,,,,,,,,,,,,,,,,0.0,0.0,,,2015,5,28,Thursday,May,Spring,False,,,,Unknown
2015-05-29,,,,,,,,,,,,,,,,,0.0,0.0,,,2015,5,29,Friday,May,Spring,False,,,,Unknown
2015-05-30,,,,,,,,,,,,,,,,,0.0,0.0,,,2015,5,30,Saturday,May,Spring,False,,,,Unknown
2015-05-31,,,,,,,,,,,,,,,,,0.0,0.0,,,2015,5,31,Sunday,May,Spring,False,,,,Unknown
2015-06-01,,,,,,,,,,,,,,,,,0.0,0.0,,,2015,6,1,Monday,June,Monsoon,True,,,,Unknown
2015-06-02,,,,,,,,,,,,,,,,,0.0,0.0,,,2015,6,2,Tuesday,June,Monsoon,True,,,,Unknown
2015-06-03,,,,,,,,,,,,,,,,,0.0,0.0,,,2015,6,3,Wednesday,June,Monsoon,True,,,,Unknown
2015-06-04,,,,,,,,,,,,,,,,,0.0,0.0,,,2015,6,4,Thursday,June,Monsoon,True,,,,Unknown
2015-06-05,,,,,,,,,,,,,,,,,0.0,0.0,,,2015,6,5,Friday,June,Monsoon,True,,,,Unknown
